model,TP,FN,TN,FP,sensitivity,specificity,precision,F1,MCC,accuracy
Jev,208,184,16615,184,0.5306122448979592,0.9890469670813739,0.5306122448979592,0.5306122448979592,0.5196592119793331,0.9785934500610785
LR,250,142,13317,3482,0.6377551020408163,0.7927257574855646,0.0669882100750268,0.12124151309408342,0.1558695855496707,0.789192019079751
