model,screened_n,screening_fraction,work_saved,WSS95,macro_screening_fraction,macro_WSS95,min_WSS95,max_WSS95,random_tie_expected_screening_fraction,random_tie_expected_WSS95,macro_random_tie_expected_WSS95,achieved_recall
BM25,11313,0.6580769007038567,0.3419230992961433,0.29192309929614324,0.7371601741813617,0.2128398258186383,-0.015116279069767535,0.5598810988109881,0.6580769007038567,0.29192309929614324,0.2128398258186383,0.9642857142857143
Jev,11858,0.6897795358036182,0.31022046419638183,0.2602204641963818,0.5594603589299745,0.3905396410700256,-0.050000000000000044,0.9132931305715783,0.4527503451105636,0.49724965488943634,0.5143617188671746,0.9770408163265306
LR,12757,0.7420743412250597,0.25792565877494034,0.2079256587749403,0.7568277471010283,0.19317225289897172,0.026502732240437088,0.4397959183673469,0.7420743412250597,0.2079256587749403,0.19317225289897172,0.9642857142857143
MiniLM,6374,0.3707754057355593,0.6292245942644408,0.5792245942644407,0.484688557341976,0.465311442658024,0.23961748633879776,0.7562178588125292,0.3707754057355593,0.5792245942644407,0.465311442658024,0.9642857142857143
TF-IDF,7903,0.45971729393287186,0.5402827060671281,0.4902827060671281,0.65527206301819,0.29472793698180993,0.007377049180327777,0.8069085690856908,0.45971729393287186,0.4902827060671281,0.29472793698180993,0.9642857142857143
