tie_policy,aggregation,comparison,metric,difference,ci_low,ci_high
complete_tie,record_weighted,Jev - BM25,WSS95_difference,-0.031702635099761504,-0.3536803438632247,0.4802421034116626
complete_tie,macro,Jev - BM25,WSS95_difference,0.17769981525138723,-0.10208441147037961,0.44525635789882717
complete_tie,record_weighted,Jev - TF-IDF,WSS95_difference,-0.2300622418707463,-0.6054247043830161,0.47351257076786685
complete_tie,macro,Jev - TF-IDF,WSS95_difference,0.09581170408821557,-0.243454609462417,0.4058233923965214
complete_tie,record_weighted,Jev - MiniLM,WSS95_difference,-0.3190041300680589,-0.6090681555073401,0.24906761293079463
complete_tie,macro,Jev - MiniLM,WSS95_difference,-0.07477180158799848,-0.36517526552495644,0.20342816731571
complete_tie,record_weighted,Jev - LR,WSS95_difference,0.05229480542144145,-0.21109966939461275,0.5377253023076248
complete_tie,macro,Jev - LR,WSS95_difference,0.19736738817105381,-0.08156383096667079,0.46941228994030365
random_tie_expectation,record_weighted,Jev - BM25,WSS95_difference,0.20532655559329305,0.001163254355700513,0.5242351685371252
random_tie_expectation,macro,Jev - BM25,WSS95_difference,0.3015218930485364,0.11220286885954459,0.49638498966534284
random_tie_expectation,record_weighted,Jev - TF-IDF,WSS95_difference,0.006966948822308246,-0.2496459558521045,0.5032343264081578
random_tie_expectation,macro,Jev - TF-IDF,WSS95_difference,0.21963378188536473,-0.01898960133041092,0.44497220482762406
random_tie_expectation,record_weighted,Jev - MiniLM,WSS95_difference,-0.08197493937500432,-0.2952232336115541,0.27719657062468345
random_tie_expectation,macro,Jev - MiniLM,WSS95_difference,0.04905027620915068,-0.15533145804255802,0.24337122424561186
random_tie_expectation,record_weighted,Jev - LR,WSS95_difference,0.28932399611449605,0.09083088934638853,0.5743694654821169
random_tie_expectation,macro,Jev - LR,WSS95_difference,0.32118946596820297,0.11515882629644278,0.522117509934166
