comparison,metric,macro_difference,ci_low,ci_high,reviews_jev_better,reviews_jev_worse
Jev - BM25,AUROC,0.18741068112362533,0.12588919464668513,0.25170230701620216,10,0
Jev - TF-IDF,AUROC,0.15549657371580797,0.0925373291618698,0.21685708947046772,9,1
Jev - MiniLM,AUROC,0.07172442594734874,0.029310494158127608,0.11288662907294046,8,2
Jev - LR,AUROC,0.16882669512223952,0.12068443812922561,0.2137448307692757,10,0
Jev - BM25,AUPRC_AP,0.41672005964981695,0.3365665911463184,0.5027127684587607,10,0
Jev - TF-IDF,AUPRC_AP,0.39788663623685033,0.32616805580763397,0.4810704232495354,10,0
Jev - MiniLM,AUPRC_AP,0.3296289917325026,0.24868419909496942,0.4175566808839609,10,0
Jev - LR,AUPRC_AP,0.405263197640373,0.3257354251000067,0.49105421637839536,10,0
