model,AUROC_mean,AUROC_min,AUROC_max,AUPRC_AP_mean,AUPRC_AP_min,AUPRC_AP_max,sensitivity_mean,sensitivity_min,sensitivity_max
BM25,0.7306445835496682,0.577229020979021,0.8750880902043693,0.10369081974654848,0.010266189126571597,0.2526254301278665,,,
Jev,0.9180552646732935,0.7821178715285139,0.9943798449612403,0.5204108793963654,0.3220510217719069,0.7344980014060031,0.5449597601068624,0.21052631578947367,0.8
LR,0.7492285695510541,0.5664335664335665,0.836398872445384,0.11514768175599241,0.008201629700593613,0.2673424916976643,0.6553292415984611,0.05263157894736842,1.0
MiniLM,0.8463308387259447,0.7118881118881119,0.9733072997120649,0.19078188766386284,0.013057364966343275,0.41177830879177835,,,
TF-IDF,0.7625586909574855,0.5272727272727272,0.964872637633525,0.12252424315951511,0.041239200118965424,0.2501968212326558,,,
