model,AUROC,AUPRC_AP
Jev,0.856118515922352,0.29426969322697344
BM25,0.6656621932063498,0.04055232960100234
TF-IDF,0.6881950425863541,0.05082476733139538
MiniLM,0.800189075272945,0.08293751532171188
LR,0.701059708364565,0.046700728660786985
