model,score,AUROC,AUPRC_AP,AUROC_ci_low,AUROC_ci_high,AUPRC_AP_ci_low,AUPRC_AP_ci_high
Jev,p_include,0.9220384534550768,0.5012314499285581,0.9051594282770927,0.9387038062690695,0.4487980175192878,0.5565285733265553
BM25,bm25_rank_pct,0.6656621932063498,0.04055232960100234,0.6383416012286919,0.6922765780578423,0.035025551423111694,0.047791719968275956
TF-IDF,tfidf_rank_pct,0.6881950425863541,0.05082476733139538,0.6604869407012518,0.714779604892171,0.04302983518722706,0.06273647220795968
MiniLM,minilm_rank_pct,0.800189075272945,0.08293751532171188,0.7802055666399608,0.819027016187474,0.07012550031967046,0.1009816947236572
LR,lr_loro_p_include,0.7700412803969138,0.08479904990847026,0.7461282649887969,0.7942027917247284,0.07078621965658985,0.10428029658770163
